7CA61A53,"Name","Title","Place publication","Publisher","Date of publication"
4030EC35,"Orwell, George","Nineteen eighty-four","London","Vintage","2018"
430945EC,"Orwell, George","A life in letter and diaries","London","Folio Society","2017"
78843614,"Newsinger, John","Hope lies in the proles : George Orwell and the left","London","PlutoPress","2018"
B9B5BA58,"Crook, Tim","George Orwell on the radio : his works in sound drama and documentary","London","Routledge","2018"
72772551,"Ostrom, Hans A.","Orwell's 'politics and the English language' in the age of pseudocracy","London","Routledge","2018"
72772551,"Ostrom, Hans A.","Orwell's 'politics and the English language' in the age of pseudocracy","London","Routledge","2018"
7CF07B9B,"Crick, Bernard","George Orwell : a life","London","Harvill Secker","2018"
BFE05B8F,"Orwell, George","Nineteen eighty-four","London","Penguin","2018"
26930B54,"Orwell, George","Animal farm","London","Penguin","2018"
78843614,"Newsinger, John","Hope lies in the proles : George Orwell and the left","London","PlutoPress","2018"
DCB5F484,"Crick, Bernard","George Orwell : a life","London","Vintage Digital","2018"
EA275CB7,"Orwell, George","Burmese days","London","Harvill Secker","2018"
B91274DD,"Orwell, George","Keep the aspidistra flying","London","Harvill Secker","2018"
39CB9C0D,"Orwell, George","Coming up for air","London","Harvill Secker","2018"
57CE9B34,"Orwell, George","Animal farm","London","Harvill Secker","2018"
73F69CFA,"Orwell, George","Nineteen eighty-four","London","Harvill Secker","2018"
781AF10B,"Orwell, George","A clergyman's daughter","London","Harvill Secker","2018"
4CACB9C4,"Laursen, Eric","The duty to stand aside : Nineteen eighty-four and the wartime quarrel of George Orwell and Alex Comfort","Edinburgh","AK Press","2018"
527B67A5,"Williams, Ian, Political scientist","Political and cultural perceptions of George Orwell : British and American views","New York","Palgrave Macmillan","2017"
B99E0C68,"KalelioÄŸlu, Murat","A literary semiotics approach to the universe of meaning in George Orwell's 1984 narrative","Newcastle upon Tyne","Cambridge Scholars","2019"
A322CE97,"KalelioÄŸlu, Murat","A literary semiotics approach to the semantic universe of George Orwell's Nineteen Eighty-Four","Newcastle upon Tyne","Cambridge Scholars","2019"
39B96807,"Lynskey, Dorian","The ministry of truth : the biography of George Orwell's 1984","London","Picador","2019"
838AF7BB,"Rodden, John","Becoming George Orwell : life and letters, legend and legacy","Princeton","Princeton University Press","2019"
39B96807,"Lynskey, Dorian","The ministry of truth : the biography of George Orwell's 1984","London","Picador","2019"
2E076A7D,"Brindle, Keith","Animal farm","Harlow","Pearson","2019"
EB985304,"Taylor, D. J. (David John)","On Nineteen eighty-four : a biography","New York","Abram Press","2019"
D10F531F,"Bennett, Annie","Animal farm AQA English literature","London","Scholastic","2020"
9707B0A2,"Bradford, Richard","Orwell : a man of our times","London","Bloomsbury","2020"
312B87C7,"Hanley, Christopher","George Orwell and education : learning, commitment and human dependency","London","Routledge","2019"
312B87C7,"Hanley, Christopher","George Orwell and education : learning, commitment and human dependency","London","Routledge","2019"
9707B0A2,"Bradford, Richard","Orwell : a man of our times","London","Bloomsbury","2020"
FC23202F,"Dale, John","If George Orwell were alive today : on Nineteen eighty-four and the thrust of Orwellian political satire","Melbourne","Arden","2020"
C8F03AB0,"Lynskey, Dorian","The ministry of truth : a biography of George Orwell's 1984","London","Picador","2021"
82C993E1,"Orwell, George","Animal farm","London","Harvill Secker","2020"
14BEC91D,"Orwell, George","Nineteen eighty-four","London","Harvill Secker","2020"
B6A7426E,"Orwell, George","Orwell and the dispossessed : Down and out in Paris and London in the context of essays, reviews and letters selected from The Complete Works of George Orwell","London","Penguin","2020"
5EF2B3A4,"Durant, Richard","Animal farm","London","Scholastic","2020"
7F09F323,"Orwell, George","Animal farm","London","William Collins","2021"
12920C05,"Orwell, George","1984","London","William Collins","2021"
D913B70D,"Orwell, George","Nineteen eighty-four","London","William Collins","2021"
7F09F323,"Orwell, George","Animal farm","London","William Collins","2021"
3D4D5EF9,"Orwell, George","Burmese days","London","William Collins","2021"
0EFBBEEA,"Orwell, George","Burmese days","Oxford","Oxford University Press","2021"
C2BB6C07,"Orwell, George","Nineteen eighty-four","London","Penguin","2021"
3FF7D1D0,"Orwell, George","Animal farm : a fairy story","London","Penguin","2021"
BF198B64,"Orwell, George","Nineteen eighty-four","London","Faber & Faber","2021"
0E4683C3,"Orwell, George","1984","London","Scholastic","2021"
09BB7946,"Orwell, George","Animal farm","London","Scholastic","2021"
AF38B0DA,"Orwell, George","Burmese days","London","Arcturus","2021"
F69A5B3F,"Orwell, George","A clergyman's daughter","London","Arcturus","2021"
538BE09D,"Orwell, George","Keep the aspidistra flying","London","Arcturus","2021"
88CC38E1,"Orwell, George","Nineteen eighty-four","London","Macmillan","2021"
05B99174,"Orwell, George","Animal farm","London","Macmillan","2021"
C5C614EA,"Orwell, George","Burmese days","London","Macmillan","2021"
D8A82BF2,"Orwell, George","1984","London","Vintage Classics","2021"
B0934271,"Orwell, George","Animal farm","London","Vintage Classics","2021"
E9B58B02,"Orwell, George","1984","London","Arcturus","2021"
1CCD49F6,"Orwell, George","Animal farm","London","Arcturus","2021"
7F09F323,"Orwell, George","Animal farm","London","William Collins","2021"
3D4D5EF9,"Orwell, George","Burmese days","London","William Collins","2021"
BF198B64,"Orwell, George","Nineteen eighty-four","London","Faber & Faber","2021"
22F0F227,"Orwell, George","Animal farm : and, Nineteen eight-four","London","William Collins","2021"
FE0756A3,"Orwell, George","Coming up for air","Oxford","Oxford University Press","2021"
ADAE8197,"Orwell, George","Animal farm","Oxford","Oxford University Press","2021"
C668DD10,"Orwell, George","Nineteen eighty-four","Oxford","Oxford University Press","2021"
BBD7B098,"Orwell, George","Keep the aspidistra flying","Oxford","Oxford University Press","2021"
C26EB2E1,"Orwell, George","Animal farm","Edinburgh","Barrington Stoke","2021"
68B029BB,"Orwell, George","Nineteen eighty-four","Ware","Wordsworth","2021"
EFE97671,"Orwell, George","Animal farm","Ware","Wordsworth","2021"
AFC3660A,"Orwell, George","Nineteen eighty-four","Edinburgh","Polygon","2021"
AFC3660A,"Orwell, George","Nineteen eighty-four","Edinburgh","Polygon","2021"
